наименование,изготовитель,номер_свидетельства_и_дата,этикетка,происхождение,противопоказания,срок_годности,год_регистрации,количество_групп_компонентов,пищевые_вещества_витамины_витаминоподобные_вещества_и_коферменты,пищевые_вещества_макро_и_микроэлементы,пищевые_вещества_жиры_жироподобные_вещества_и_их_производные,пищевые_вещества_белки_пептиды_аминокислоты_нуклеиновые_кислоты,минорные_компоненты_растений_фенольные_соединения,минорные_компоненты_растений_алкалоиды,пробиотики_в_монокультурах_и_ассоциациях_пробиотические_микроорганизмы,пищевые_вещества_углеводы_и_продукты_их_переработки,минорные_компоненты_растений_сапонины,минорные_компоненты_растений_терпеноиды,минорные_компоненты_растений_естественные_метаболиты_и_стимуляторы_метаболизма,минорные_компоненты_растений_гидроксикоричные_кислоты,минорные_компоненты_растений_ферменты,минорные_компоненты_растений_дубильные_вещества,минеральные_и_минерало_органические_природные_субстанции_цеолиты_и_гуминовые_кислоты,система_органов_для_беременных_кормящих_и_планирующих_беременность,система_органов_костно_мышечная_система,система_органов_нервная_система,система_органов_иммунная_система,система_органов_пищеварительный_тракт_и_обмен_веществ,система_органов_мочеполовая_система,система_органов_дерматологические_бад,система_органов_органы_чувств,система_органов_сердечно_сосудистая_система,система_органов_противоопухолевые_бад,система_органов_противопаразитарные_бад,система_органов_дыхательная_система,система_органов_кровь_и_система_кроветворения,система_органов_противомикробные_бад,форма_выпуска,продолжительность_приема,происхождение_природное_синтетическое,сырье,группа_населения_предназначен_для_детей,группа_населения_возраст_детей,группа_населения_предназначен_для_взрослых,группа_населения_пол,группа_населения_пожилые,рекомендации_по_применению,количество_единиц_на_прием,количество_приемов_в_день,суммарное_количество_единиц_за_период,ингредиент_описание,ингредиент_кир,ингредиент_лат,биологически_активные_вещества,системы_органов,группа_населения
"биологически активная добавка к пище ""Коллаген + Витамин С IMBIAN PHARM"" (капсулы по 500 мг в потребительской упаковке - для реализации намикроэлементыию; в упаковке ""in bulk"" от 5 до 20 кг - для последующей расфасовки)","ООО ""ИМБИАН ЛАБ"", 630559, Новосибирская область, г.о. рабочий поселок Кольцово, р.п. Кольцово, ул. Садовая, д. 2/7, этаж 2, помещение 2 (адрес места осуществления деятельности по изготовлению продукции: Краснодарский край, г. Славянск-на-Кубани, ул. Дружбы народов, д. 13) (Российская Федерация)",RU.77.99.11.003.R.000328.02.23 от 09.02.2023,"Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 36 месяцев. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше +25°С. После вскрытия банку/пакет хранить плотно закрытыми при тех же условиях. Продукция в упаковке ""in bulk"" не подлежит розничной продаже намикроэлементыию, предназначена для последующей расфасовки",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 2 капсулы в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 36 месяцев. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше +25°С. После вскрытия банку/пакет хранить плотно закрытыми при тех же условиях. Продукция в упаковке ""in bulk"" не подлежит розничной продаже намикроэлементыию, предназначена для последующей расфасовки",36.0,2023,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,твердое,1,1,Гидролизованный коллаген (Корова домашняя – Bos taurus).,0,,1,,0,Рекомендации по применению: взрослым по 2 капсулы в день во время еды,2,1,60,коллаген гидролизованный,корова домашняя,bos taurus,вит,"иммунитет, кожа",взрослые
"биологически активная добавка к пище ""Рыбий Жир с Омега-3 Экстрим IMBIAN PHARM"" (капсулы массой 1600 мг в потребительской упаковке - для реализации намикроэлементыию; в упаковке ""in bulk"" от 5 до 20 кг - для последующей расфасовки )","ООО ""ИМБИАН ЛАБ"", 630559, Новосибирская область, г.о. рабочий поселок Кольцово, р.п. Кольцово, ул. Садовая, д. 2/7, этаж 2, помещение 2 (адрес места осуществления деятельности по изготовлению продукции: Краснодарский край, г. Славянск-на-Кубани, ул. Дружбы народов, д. 13) (Российская Федерация)",RU.77.99.11.003.R.000329.02.23 от 09.02.2023,"Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 24 месяца. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше +25°С. После вскрытия банку/пакет хранить плотно закрытыми в холодильнике. Продукция в упаковке ""in bulk"" не подлежит розничной продаже намикроэлементыию, предназначена для последующей расфасовки",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 капсуле в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 24 месяца. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше +25°С. После вскрытия банку/пакет хранить плотно закрытыми в холодильнике. Продукция в упаковке ""in bulk"" не подлежит розничной продаже намикроэлементыию, предназначена для последующей расфасовки",24.0,2023,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,твердое,1,1,Рыбий жир (Треска атлантическая – Gadus morhua),0,,1,,0,Рекомендации по применению: взрослым по 1 капсуле в день во время еды,1,1,30,рыбий жир,треска атлантическая,gadus morhua,пнжк,"суставы, нервная, иммунитет",взрослые
"биологически активная добавка к пище ""микроэлементы IMBIAN PHARM"" (капсулы по 400 мг в потребительской упаковке- для реализации намикроэлементыию ; в упаковке ""in bulk"" от 5 до 20 кг - для последующей расфасовки)","ООО ""ИМБИАН ЛАБ"", 630559, Новосибирская область, г.о. рабочий поселок Кольцово, р.п. Кольцово, ул. Садовая, д. 2/7, этаж 2, помещение 2 (адрес места осуществления деятельности по изготовлению продукции: Краснодарский край, г. Славянск-на-Кубани, ул. Дружбы народов, д. 13) (Российская Федерация)",RU.77.99.11.003.R.000330.02.23 от 09.02.2023,"Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 36 месяцев. хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше +25°С. После вскрытия банку/пакет хранить плотно закрытыми при тех же условиях. Продукция в упаковке ""in bulk"" не подлежит розничной продаже намикроэлементыию, предназначена для последующей расфасовки",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 капсуле в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 36 месяцев. хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше +25°С. После вскрытия банку/пакет хранить плотно закрытыми при тех же условиях. Продукция в упаковке ""in bulk"" не подлежит розничной продаже намикроэлементыию, предназначена для последующей расфасовки",36.0,2023,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,твердое,1,0,,0,,1,,0,Рекомендации по применению: взрослым по 1 капсуле в день во время еды,1,1,30,,,,элементы,"иммунитет, жкт",взрослые
"биологически активная добавка к пище ""Чага Экстракт IMBIAN Eco"" (капсулы по 500 мг в потребительской упаковке- для реализации намикроэлементыию ; в упаковке ""in bulk"" от 5 до 20 кг - для последующей расфасовки)","ООО ""ИМБИАН ЛАБ"", 630559, Новосибирская область, г.о. рабочий поселок Кольцово, р.п. Кольцово, ул. Садовая, д. 2/7, этаж 2, помещение 2 (адрес места осуществления деятельности по изготовлению продукции: Краснодарский край, г. Славянск-на-Кубани, ул. Дружбы народов, д. 13) (Российская Федерация)",RU.77.99.11.003.R.000331.02.23 от 09.02.2023,"Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 36 месяцев. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше +25°С. После вскрытия банку/пакет хранить плотно закрытыми при тех же условиях. Продукция в упаковке ""in bulk"" не подлежит розничной продаже намикроэлементыию, предназначена для последующей расфасовки",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 капсуле 2 раза в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 36 месяцев. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше +25°С. После вскрытия банку/пакет хранить плотно закрытыми при тех же условиях. Продукция в упаковке ""in bulk"" не подлежит розничной продаже намикроэлементыию, предназначена для последующей расфасовки",36.0,2023,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,твердое,1,1,Гидролизованный коллаген (Корова домашняя – Bos taurus).,0,,1,,0,Рекомендации по применению: взрослым по 1 капсуле 2 раза в день во время еды,1,2,60,коллаген гидролизованный,корова домашняя,bos taurus,фенольн,жкт,взрослые
"биологически активная добавка к пище ""5-НТР + В6"" БИОКАПС"" (капсулы массой 720мг(±10%) в потребительской упаковке для реализации намикроэлементыию; в упаковке ""in bulk"" от 1,5 до 20 кг для последующей расфасовки)","ООО ""БИОКОРД"", 443044, Самарская область, г.о. Самара, вн.р-н Кировский, п. Зубчаниновка, ул. Товарная, влд. 70, литера Ш, офис 17 (адрес места осуществления деятельности по изготовлению продукции: 443044, Самарская область, г.о.Самара, ул.Товарная, д.70, лит.Ш) (Российская Федерация)",RU.77.99.11.003.R.000347.02.23 от 10.02.2023,"Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Возможны повторные приемы в течение года. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Условия хранения: хранить в оригинальной упаковке, недоступном для детей месте, при температуре не выше +25°С. Продукция в упаковке ""in bulk"" не подлежит розничной продаже, предназначена для последующей расфасовки",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 капсуле 3 раза в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Возможны повторные приемы в течение года. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Условия хранения: хранить в оригинальной упаковке, недоступном для детей месте, при температуре не выше +25°С. Продукция в упаковке ""in bulk"" не подлежит розничной продаже, предназначена для последующей расфасовки",24.0,2023,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,твердое,1,1,5-гидрокситриптофан (Гриффония простолистная – Griffonia simplicifolia).,0,,1,,0,Рекомендации по применению: взрослым по 1 капсуле 3 раза в день во время еды,1,3,90,5 htp,гриффония простолистная,griffonia simplicifolia,"вит, аминокислоты",нервная,взрослые
"биологически активная добавка к пище ""ФИТОМИОНОРМ - ЛАКТУЛОЗА ВС"" (жидкость во флаконах по 100 - 1000 мл с мерной ложкой (стаканчиком) или без нее)","Индивидуальный предприниматель Ибрагимов Тимур Алгасанович, 367009, Республика Дагестан, г. Махачкала, ул. Каммаева, д. 13, кв. 62 (адрес места осуществления деятельности по изготовлению продукции: 367009, Республика Дагестан, г. Махачкала, ул. Каммаева, д. 19 ""А"" ) (Российская Федерация)",RU.77.99.11.003.R.000355.02.23 от 13.02.2023,"Продолжительность приема - 14 дней. При необходимости прием БАД можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, склонность к диарее, острые желудочно-кишечные заболевания, кишечная непроходимость, галактоземия. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром, детям принимать под наблюдением врача-педиатра. Срок годности - 18 месяцев. Хранить в оригинальной упаковке в недоступном для детей месте при температуре не выше 25 °С. При хранении возможно образование незначительного осадка. После вскрытия хранить в холодильнике не более 20 суток",1,"в соответствии с ТР ТС 022/2011.Рекомендации по применению: детям в возрасте от 3 до 6 лет принимать по 2,5 мл (1/2 чайной ложки или мерной ложкой (стаканчиком)) в день, детям с 7 до 14 лет по 5 мл (1 чайной ложке или мерной ложкой (стаканчиком)) в день, и детям с 15 лет и взрослым по 10 мл (2 чайные ложки или 1 десертную ложку или мерной ложкой (стаканчиком)) в день во время еды. Продолжительность приема - 14 дней. При необходимости прием БАД можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, склонность к диарее, острые желудочно-кишечные заболевания, кишечная непроходимость, галактоземия. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром, детям принимать под наблюдением врача-педиатра. Срок годности - 18 месяцев. Хранить в оригинальной упаковке в недоступном для детей месте при температуре не выше 25 °С. При хранении возможно образование незначительного осадка. После вскрытия хранить в холодильнике не более 20 суток",18.0,2023,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,жидкое,1,0,,0,,1,,0,"Рекомендации по применению: детям в возрасте от 3 до 6 лет принимать по 2,5 мл (1/2 чайной ложки или мерной ложкой (стаканчиком)) в день, детям с 7 до 14 лет по 5 мл (1 чайной ложке или мерной ложкой (стаканчиком)) в день, и детям с 15 лет и взрослым по 10 мл (2 чайные ложки или 1 десертную ложку или мерной ложкой (стаканчиком)) в день во время еды",2,1,60,,,,"вит, полисахариды",жкт,взрослые
"биологически активная добавка к пище ""Карнитёнок ЭКОлаб"" (жидкость (сироп) во флаконах по 100 мл)","ЗАО ""ЭКОлаб"", 142530, Московская обл., г. Электрогорск, ул. Буденного, д. 1 (Российская Федерация)",RU.77.99.11.003.R.000369.02.23 от 14.02.2023,"Продолжительность приема - 20 дней. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов, нарушения углеводного обмена (в том числе сахарный диабет). Перед применением необходимо проконсультироваться с врачом-педиатром. Принимать БАД по согласованию и под наблюдением врача-педиатра. Срок годности - 18 месяцев. Хранить в защищенном от прямых солнечных лучей, недоступном для детей месте при температуре не выше 25°С. После вскрытия хранить в холодильнике не более месяца.",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: перед употреблением взболтать; детям с 3-х лет по 2,5 мл (1/2 чайной или мерной ложки), детям с 4-х лет по 5 мл (1 чайная или мерная ложка) 1 раз в день после еды, запивая достаточным количеством воды или растворив в воде, соке, киселе или компоте. Продолжительность приема - 20 дней. При необходимости прием можно повторить. Противопоказания: индивидуальная непереносимость компонентов, нарушения углеводного обмена (в том числе сахарный диабет). Перед применением необходимо проконсультироваться с врачом-педиатром. Принимать БАД по согласованию и под наблюдением врача-педиатра. Срок годности - 18 месяцев. Хранить в защищенном от прямых солнечных лучей, недоступном для детей месте при температуре не выше 25°С. После вскрытия хранить в холодильнике не более месяца.",18.0,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,жидкое,1,1,Сок брусники (Брусника обыкновенная – Vaccinium vitis-idaea),0,,0,,0,"Рекомендации по применению: перед употреблением взболтать; детям с 3-х лет по 2,5 мл (1/2 чайной или мерной ложки), детям с 4-х лет по 5 мл (1 чайная или мерная ложка) 1 раз в день после еды, запивая достаточным количеством воды или растворив в воде, соке, киселе или компоте",2,1,60,сок брусники,брусника обыкновенная,vaccinium vitis-idaea,аминокислоты,жкт,
"биологически активная добавка к пище ""Янтарная кислота ""ЛекАлтай"" (таблетки массой 500 мг)","ООО ""Витамин Продукт"", 656040, Алтайский край, г. Барнаул, п. Борзовая Заимка, ул. Радужная, д. 22 А, офис 3 (адрес места осуществления деятельности по изготовлению продукции: 656037, Алтайский край, г. Барнаул, пр-т макроэлементынина, влд. 116/82, стр. 3) (Российская Федерация)",RU.77.99.88.003.R.000379.02.23 от 14.02.2023,"Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 3 года. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С",1,"в соответсвтии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1-3 таблетки 1 раз в день или по 1 таблетке 1-3 раза в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 3 года. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С",36.0,2023,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,твердое,1,0,,0,,1,,0,Рекомендации по применению: взрослым по 1-3 таблетки 1 раз в день или по 1 таблетке 1-3 раза в день во время еды,3,3,270,,,,ест,,взрослые
"биологически активная добавка к пище ""макроэлементыия глюконат ""ЛекАлтай"" (таблетки массой 530 мг)","ООО ""Витамин Продукт"", 656040, Алтайский край, г. Барнаул, п. Борзовая Заимка, ул. Радужная, д. 22 А, офис 3 (адрес места осуществления деятельности по изготовлению продукции: 656037, Алтайский край, г. Барнаул, пр-т макроэлементынина, влд. 116/82, стр. 3) (Российская Федерация)",RU.77.99.88.003.R.000380.02.23 от 14.02.2023,"При невозможности проглотить перед употреблением таблетку можно растолочь. Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Детям до 14 лет принимать по согласованию и под наблюдением врача-педиатра. Срок годности - 3 года. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С",1,"в соответсвтии с ТР ТС 022/2011. Рекомендации по применению: взрослым и детям с 3-х лет по 3 таблетки 2-3 раза в день во время еды. При невозможности проглотить перед употреблением таблетку можно растолочь. Продолжительность приема - 1 месяц. При необходимости прием БАД можно повторить. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Детям до 14 лет принимать по согласованию и под наблюдением врача-педиатра. Срок годности - 3 года. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С",36.0,2023,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,твердое,1,0,,0,,1,,0,Рекомендации по применению: взрослым и детям с 3-х лет по 3 таблетки 2-3 раза в день во время еды. При невозможности проглотить перед употреблением таблетку можно растолочь,3,3,270,,,,элементы,"суставы, сердце",взрослые
"биологически активная добавка к пище ""ЖИР ПЕЧЕНИ ТРЕСКИ"" / ""COD LIVER OIL"" (капсулы массой 760,0 мг)","""MИTAKA CЁДЗИ ко., лтд."" (MITAKA SHOJI co., ltd.) 1-й этаж, Яманотэ-рокубанкан,5-33-4 Накано, Накано-ку, Токио 164-000 (Япония)",RU.77.99.11.003.R.000408.02.23 от 17.02.2023,"Продолжительность приема - 1 месяц. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность и кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в оригинальной закрытой упаковке, в сухом, прохладном, в недоступном для детей месте, при температуре не выше 25°С",0,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 4 капсулы в день во время еды, запивая водой. Продолжительность приема - 1 месяц. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность и кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в оригинальной закрытой упаковке, в сухом, прохладном, в недоступном для детей месте, при температуре не выше 25°С",24.0,2023,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,твердое,1,1,Жир печени трески (Треска атлантическая – Gadus morhua).,0,,1,,0,"Рекомендации по применению: взрослым по 4 капсулы в день во время еды, запивая водой",4,1,120,жир печени трески,треска атлантическая,gadus morhua,пнжк,"суставы, нервная, иммунитет, кожа, глаза, сердце",взрослые
"биологически активная добавка к пище ""Концентрат Исландский мох"" (Сoncentrate Icelandic Moss) (капсулы массой 400 мг (±10%))","ООО ""Простые решения"", 659303, Алтайский край, г. Бийск, ул. Петра Мерлина 52, офис 11 (адрес места осуществления деятельности по изготовлению продукции: 659303, Алтайский край, г. Бийск, ул. Петра Мерлина дом 52) (Российская Федерация)",RU.77.99.11.003.R.000425.02.23 от 20.02.2023,"Продолжительность приема 1 месяц. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Условия хранения: хранить при температуре не выше +25 °С и относительной влажности не более 75%. Срок годности: 2 года от даты изготовления",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 капсуле 2 раза во время еды, запивая стаканом воды. Продолжительность приема 1 месяц. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Условия хранения: хранить при температуре не выше +25 °С и относительной влажности не более 75%. Срок годности: 2 года от даты изготовления",24.0,2023,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,твердое,1,1,Экстракт слоевища исландского мха (Цетрария исландская – Cetraria islandica).,0,,1,,0,"Рекомендации по применению: взрослым по 1 капсуле 2 раза во время еды, запивая стаканом воды",1,2,60,экстракт слоевища исландского мха,цетрария исландская,cetraria islandica,вит,"иммунитет, жкт, легкие",взрослые
"биологически активная добавка к пище ""Концентрат Артишок"" (Сoncentrate Artichoke) (капсулы по 450 мг (±10%))","ООО ""Простые решения"", 659303, Алтайский край, г. Бийск, ул. Петра Мерлина 52, офис 11 (адрес места осуществления деятельности по изготовлению продукции: 659303, Алтайский край, г. Бийск, ул. Петра Мерлина дом 52) (Российская Федерация)",RU.77.99.11.003.R.000426.02.23 от 20.02.2023,"Продолжительность приема 1 месяц. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Условия хранения: хранить при температуре не выше +25 °С и относительной влажности не более 75%. Срок годности: 2 года от даты изготовления",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 капсуле 2 раза во время еды, запивая стаканом воды. Продолжительность приема 1 месяц. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Условия хранения: хранить при температуре не выше +25 °С и относительной влажности не более 75%. Срок годности: 2 года от даты изготовления",24.0,2023,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,твердое,1,1,"Экстракт артишока (Артишок испанский – Cynara cardunculus), экстракт семян расторопши (Расторопша пятнистая – Silybum marianum), инулин (Цикорий обыкновенный – Cichorium intybus), экстракт корня одуванчика (Одуванчик лекарственный – Taraxacum officinale), экстракт корня имбиря (Имбирь лекарственный – Zingiber officinale).",0,,1,,0,"Рекомендации по применению: взрослым по 1 капсуле 2 раза во время еды, запивая стаканом воды",1,2,60,"экстракт артишока, экстракт семян расторопши, инулин, экстракт корня одуванчика, экстракт корня имбиря","артишок испанский, расторопша пятнистая, цикорий обыкновенный, одуванчик лекарственный, имбирь лекарственный","cynara cardunculus, silybum marianum, cichorium intybus, taraxacum officinale, zingiber officinale","вит, фенольн",жкт,взрослые
"биологически активная добавка к пище ""Концентрат Лапчатка белая"" (Сoncentrate Potentilla white) (капсулы массой 500 мг (±10%))","ООО ""Простые решения"", 659303, Алтайский край, г. Бийск, ул. Петра Мерлина 52, офис 11 (адрес места осуществления деятельности по изготовлению продукции: 659303, Алтайский край, г. Бийск, ул. Петра Мерлина дом 52) (Российская Федерация)",RU.77.99.11.003.R.000427.02.23 от 20.02.2023,"Продолжительность приема 1 месяц. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Условия хранения: хранить при температуре не выше 25 °С и относительной влажности не более 75%. Срок годности: 2 года от даты изготовления",1,"в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 капсуле 2 раза во время еды, запивая стаканом воды. Продолжительность приема 1 месяц. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Условия хранения: хранить при температуре не выше 25 °С и относительной влажности не более 75%. Срок годности: 2 года от даты изготовления",24.0,2023,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,твердое,1,1,Лапчатка белая корень и корневища экстракт (Лапчатка белая – Potentilla alba),0,,1,,0,"Рекомендации по применению: взрослым по 1 капсуле 2 раза во время еды, запивая стаканом воды",1,2,60,экстракт корней и корневищ лапчатки белой,лапчатка белая,potentilla alba,"вит, дуб",жкт,взрослые
"биологически активная добавка к пище ""Комплекс лютеин с черникой"" (таблетки массой 700 мг для реализации намикроэлементыию; в упаковке ""in bulk"" от 3,0 - 50 кг для последующей расфасовки)","""Braveiy Biotechnology (Anhui) Co., Ltd."" No.18 Liyu Road, Shizi Economic & Technological Development District, Langxi, Xuancheng, Anhui, 242131 (Китайская Народная Республика)",RU.77.99.88.003.R.000449.02.23 от 21.02.2023,"Продолжительность приёма - 1 месяц. При необходимости прием можно повторить. Возможны повторные приемы в течение года. Срок годности - 2 года. Хранить в сухом, недоступном для детей месте, при температуре не выше 25°С. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром. Детям до 14 лет принимать БАД по согласованию и под наблюдением врача-педиатра. Продукция в упаковке ""in bulk"" - не подлежит розничной продаже, предназначена для последующей расфасовки",0,"индивидуальная непереносимость компонентов, беременность, кормление грудью",24.0,2023,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,твердое,1,1,"Порошок плодов черники обыкновенной (Черника обыкновенная – Vaccinium myrtillus), крахмал кукурузный (Кукуруза обыкновенная – Zea mays)",1,168.0,1,,0,"Рекомендации по применению: детям с 3 до 7 лет по 1 таблетке в день, детям с 7 до 14 лет по 1 таблетке 2 раза в день, взрослым и детям старше 14 лет по 1 таблетке 3 раза в день, таблетку рассасывать во рту до полного растворения",1,2,60,"порошок черники, крахмал кукурузный","черника обыкновенная, кукуруза обыкновенная","vaccinium myrtillus, zea mays",фенольн,глаза,"дети, 168, взрослые"
